Date,Ordered Product Sales,Ordered Product Sales - B2B,Units Ordered,Units Ordered - B2B,Total Order Items,Total Order Items - B2B,Page Views - Total,Page Views - Total - B2B,Sessions - Total,Sessions - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Average Offer Count,Average Parent Items
8/1/25,$29.98,$0.00,2,0,2,0,17,0,11,0,100.00%,0.00%,18.18%,0.00%,4,4
8/2/25,$14.99,$0.00,1,0,1,0,9,0,6,0,100.00%,0.00%,16.67%,0.00%,4,4
8/3/25,$24.99,$0.00,1,0,1,0,7,0,7,0,100.00%,0.00%,14.29%,0.00%,4,4
8/4/25,$14.99,$0.00,1,0,1,0,9,0,7,0,100.00%,0.00%,14.29%,0.00%,4,4
8/5/25,$59.96,$0.00,4,0,3,0,11,1,6,1,100.00%,100.00%,66.67%,0.00%,4,4
8/6/25,$24.99,$0.00,1,0,1,0,8,1,7,1,100.00%,100.00%,14.29%,0.00%,4,4
8/7/25,$24.99,$0.00,1,0,1,0,9,0,8,0,100.00%,0.00%,12.50%,0.00%,4,4
8/8/25,$24.99,$0.00,1,0,1,0,3,0,3,0,100.00%,0.00%,33.33%,0.00%,4,4
8/9/25,$64.97,$0.00,3,0,3,0,13,0,11,0,100.00%,0.00%,27.27%,0.00%,4,4
8/10/25,$24.99,$0.00,1,0,1,0,12,0,9,0,100.00%,0.00%,11.11%,0.00%,4,4
8/11/25,$49.98,$0.00,2,0,2,0,7,0,6,0,100.00%,0.00%,33.33%,0.00%,4,4
8/12/25,$24.99,$0.00,1,0,1,0,13,1,11,1,100.00%,100.00%,9.09%,0.00%,4,4
8/13/25,$64.97,$0.00,3,0,3,0,18,3,13,3,100.00%,100.00%,23.08%,0.00%,4,4
8/14/25,$64.98,$0.00,2,0,2,0,25,1,18,1,100.00%,100.00%,11.11%,0.00%,4,4
8/15/25,$49.98,$0.00,2,0,2,0,23,0,16,0,100.00%,0.00%,12.50%,0.00%,4,4
8/16/25,$0.00,$0.00,0,0,0,0,26,0,21,0,100.00%,0.00%,0.00%,0.00%,4,4
8/17/25,$74.95,$0.00,5,0,5,0,60,1,37,1,100.00%,0.00%,13.51%,0.00%,4,4
8/18/25,$69.96,$0.00,4,0,4,0,52,0,26,0,100.00%,0.00%,15.38%,0.00%,4,4
8/19/25,$39.98,$0.00,2,0,2,0,48,3,26,3,100.00%,100.00%,7.69%,0.00%,4,4
8/20/25,$69.96,$0.00,4,0,3,0,33,0,25,0,100.00%,0.00%,16.00%,0.00%,4,4
8/21/25,$24.99,$0.00,1,0,1,0,40,1,26,1,100.00%,100.00%,3.85%,0.00%,4,4
8/22/25,$44.97,$0.00,3,0,3,0,27,0,20,0,100.00%,0.00%,15.00%,0.00%,4,4
8/23/25,$74.95,$0.00,5,0,4,0,30,0,25,0,100.00%,0.00%,20.00%,0.00%,4,4
8/24/25,$119.94,$0.00,6,0,6,0,55,2,29,1,97.37%,0.00%,20.69%,0.00%,4,4
8/25/25,$14.99,$0.00,1,0,1,0,25,1,22,1,100.00%,100.00%,4.55%,0.00%,4,4
8/26/25,$69.96,$0.00,4,0,4,0,52,0,44,0,100.00%,0.00%,9.09%,0.00%,4,4
8/27/25,$534.65,$0.00,35,0,35,0,123,0,92,0,100.00%,0.00%,38.04%,0.00%,4,4
8/28/25,$139.92,$0.00,8,0,8,0,90,0,71,0,98.81%,0.00%,11.27%,0.00%,4,4
8/29/25,$124.94,$0.00,6,0,6,0,146,1,78,1,100.00%,0.00%,7.69%,0.00%,4,4
8/30/25,$119.92,$0.00,8,0,8,0,126,1,95,1,100.00%,100.00%,8.42%,0.00%,4,4
8/31/25,$164.92,$0.00,8,0,8,0,132,0,100,0,100.00%,0.00%,8.00%,0.00%,4,4
9/1/25,$59.96,$0.00,4,0,4,0,140,0,104,0,100.00%,0.00%,3.85%,0.00%,4,4
9/2/25,$209.90,$0.00,10,0,7,0,111,0,84,0,100.00%,0.00%,11.90%,0.00%,4,4
9/3/25,$129.92,$0.00,8,0,8,0,136,5,103,4,100.00%,100.00%,7.77%,0.00%,4,4
9/4/25,$184.90,$0.00,10,0,10,0,135,5,91,4,100.00%,100.00%,10.99%,0.00%,4,4
9/5/25,$284.85,$24.99,15,1,15,1,145,5,104,4,100.00%,100.00%,14.42%,25.00%,4,4
9/6/25,$294.84,$0.00,16,0,15,0,178,1,120,1,100.00%,100.00%,13.33%,0.00%,4,4
9/7/25,$139.92,$24.99,8,1,8,1,194,5,120,3,100.00%,100.00%,6.67%,33.33%,4,4
9/8/25,$99.94,$0.00,6,0,6,0,146,1,102,1,100.00%,100.00%,5.88%,0.00%,4,4
9/9/25,$174.91,$0.00,9,0,9,0,155,4,109,3,100.00%,100.00%,8.26%,0.00%,4,4
9/10/25,$164.92,$0.00,8,0,8,0,155,2,109,2,100.00%,100.00%,7.34%,0.00%,4,4
9/11/25,$124.93,$0.00,7,0,7,0,136,0,77,0,100.00%,0.00%,9.09%,0.00%,4,4
9/12/25,$39.98,$0.00,2,0,2,0,153,1,101,1,99.17%,0.00%,1.98%,0.00%,4,4
9/13/25,$84.95,$0.00,5,0,5,0,146,4,111,2,100.00%,100.00%,4.50%,0.00%,4,4
9/14/25,$59.96,$0.00,4,0,4,0,113,4,94,3,100.00%,100.00%,4.26%,0.00%,4,4
9/15/25,$54.97,$0.00,3,0,3,0,126,0,84,0,100.00%,0.00%,3.57%,0.00%,4,4
9/16/25,$39.98,$0.00,2,0,2,0,140,1,78,1,96.58%,0.00%,2.56%,0.00%,4,4
9/17/25,$119.94,$0.00,6,0,6,0,121,0,70,0,100.00%,0.00%,8.57%,0.00%,4,4
9/18/25,$149.92,$0.00,8,0,8,0,120,1,83,1,100.00%,0.00%,9.64%,0.00%,4,4
9/19/25,$24.99,$0.00,1,0,1,0,98,0,64,0,100.00%,0.00%,1.56%,0.00%,4,4
9/20/25,$79.96,$0.00,4,0,4,0,110,0,85,0,100.00%,0.00%,4.71%,0.00%,4,4
9/21/25,$44.97,$0.00,3,0,3,0,135,1,88,1,100.00%,100.00%,3.41%,0.00%,4,4
9/22/25,$69.96,$0.00,4,0,4,0,119,2,81,2,100.00%,100.00%,4.94%,0.00%,4,4
9/23/25,$104.93,$0.00,7,0,7,0,106,1,83,1,100.00%,100.00%,8.43%,0.00%,4,4
9/24/25,$159.92,$0.00,8,0,8,0,114,1,80,1,100.00%,100.00%,10.00%,0.00%,4,4
9/25/25,$54.97,$0.00,3,0,3,0,88,0,61,0,100.00%,0.00%,4.92%,0.00%,4,4
9/26/25,$84.95,$0.00,5,0,5,0,147,2,69,2,100.00%,100.00%,7.25%,0.00%,4,2
9/27/25,$169.92,$0.00,8,0,8,0,155,0,103,0,100.00%,0.00%,7.77%,0.00%,4,2
9/28/25,$349.80,$0.00,20,0,18,0,163,5,107,3,100.00%,0.00%,18.69%,0.00%,4,2
9/29/25,$184.89,$14.99,11,1,11,1,146,3,97,3,99.14%,100.00%,11.34%,33.33%,4,2
9/30/25,$114.93,$0.00,7,0,7,0,117,3,90,2,99.04%,100.00%,7.78%,0.00%,4,2
10/1/25,$189.88,$0.00,12,0,12,0,126,3,99,2,100.00%,100.00%,12.12%,0.00%,4,2
10/2/25,$74.95,$0.00,5,0,5,0,80,0,59,0,87.50%,0.00%,8.47%,0.00%,4,2
10/3/25,$79.95,$0.00,5,0,5,0,99,2,74,1,96.43%,100.00%,6.76%,0.00%,4,2
10/4/25,$74.95,$0.00,5,0,5,0,101,1,77,1,100.00%,100.00%,6.49%,0.00%,4,2
10/5/25,$234.89,$0.00,11,0,11,0,158,4,125,3,100.00%,0.00%,8.80%,0.00%,4,2
10/6/25,$164.90,$0.00,10,0,10,0,113,0,81,0,100.00%,0.00%,12.35%,0.00%,4,2
10/7/25,$295.80,$0.00,20,0,15,0,211,4,160,3,100.00%,100.00%,12.50%,0.00%,4,2
10/8/25,$765.51,$0.00,49,0,49,0,387,3,291,3,100.00%,100.00%,16.84%,0.00%,4,2
10/9/25,$194.89,$0.00,11,0,11,0,156,4,110,3,100.00%,100.00%,10.00%,0.00%,4,2
10/10/25,$154.91,$0.00,9,0,9,0,131,0,96,0,100.00%,0.00%,9.38%,0.00%,4,2
10/11/25,$84.95,$0.00,5,0,5,0,106,0,88,0,100.00%,0.00%,5.68%,0.00%,4,2
10/12/25,$124.93,$0.00,7,0,7,0,107,0,79,0,100.00%,0.00%,8.86%,0.00%,4,2
10/13/25,$219.89,$0.00,11,0,11,0,137,2,107,2,100.00%,100.00%,10.28%,0.00%,4,2
10/14/25,$354.83,$0.00,17,0,17,0,496,7,406,7,100.00%,100.00%,4.19%,0.00%,4,2
10/15/25,$284.85,$0.00,15,0,15,0,259,5,204,2,100.00%,100.00%,7.35%,0.00%,4,2
10/16/25,$244.87,$0.00,14,0,14,0,108,0,84,0,100.00%,0.00%,16.67%,0.00%,4,2
10/17/25,$74.95,$0.00,5,0,5,0,65,1,51,1,100.00%,100.00%,9.80%,0.00%,4,2
10/18/25,$79.96,$0.00,4,0,4,0,96,4,72,4,100.00%,100.00%,5.56%,0.00%,4,2
10/19/25,$84.95,$0.00,5,0,5,0,66,0,52,0,100.00%,0.00%,9.62%,0.00%,4,2
10/20/25,$59.96,$0.00,4,0,4,0,53,7,40,6,100.00%,100.00%,10.00%,0.00%,4,2
10/21/25,$44.97,$0.00,4,0,4,0,64,1,48,1,100.00%,0.00%,8.33%,0.00%,4,2
10/22/25,$99.94,$39.98,6,2,6,2,77,1,64,1,100.00%,100.00%,9.38%,200.00%,4,2
10/23/25,$114.93,$0.00,7,0,7,0,72,0,60,0,100.00%,0.00%,11.67%,0.00%,4,2
10/24/25,$264.85,$0.00,15,0,15,0,615,12,508,8,99.83%,100.00%,2.95%,0.00%,4,2
10/25/25,$399.81,$14.99,19,1,19,1,283,5,220,4,99.62%,100.00%,8.64%,25.00%,4,2
10/26/25,$159.92,$0.00,8,0,8,0,106,1,76,1,100.00%,100.00%,10.53%,0.00%,4,2
10/27/25,$164.92,$0.00,8,0,8,0,45,0,37,0,100.00%,0.00%,21.62%,0.00%,4,2
10/28/25,$59.96,$0.00,4,0,4,0,45,0,39,0,100.00%,0.00%,10.26%,0.00%,4,2
10/29/25,$54.98,$0.00,2,0,2,0,65,0,51,0,100.00%,0.00%,3.92%,0.00%,4,2
10/30/25,$54.97,$0.00,3,0,3,0,45,3,34,3,100.00%,100.00%,8.82%,0.00%,4,2
10/31/25,$69.97,$0.00,3,0,3,0,41,0,32,0,100.00%,0.00%,9.38%,0.00%,4,2
11/1/25,$84.95,$0.00,5,0,5,0,71,0,55,0,98.39%,0.00%,9.09%,0.00%,4,2
11/2/25,$44.97,$0.00,3,0,3,0,49,0,34,0,100.00%,0.00%,8.82%,0.00%,4,2
11/3/25,$99.94,$0.00,6,0,6,0,36,0,30,0,100.00%,0.00%,20.00%,0.00%,4,2
11/4/25,$69.97,$0.00,3,0,3,0,31,0,25,0,100.00%,0.00%,12.00%,0.00%,4,2
11/5/25,$94.95,$0.00,5,0,5,0,79,4,68,3,100.00%,0.00%,7.35%,0.00%,4,2
11/6/25,$69.95,$0.00,5,0,5,0,59,0,48,0,100.00%,0.00%,10.42%,0.00%,4,2
11/7/25,$109.92,$0.00,8,0,7,0,77,0,52,0,100.00%,0.00%,15.38%,0.00%,4,2
11/8/25,$44.97,$0.00,3,0,3,0,74,0,55,0,100.00%,0.00%,5.45%,0.00%,4,2
11/9/25,$84.93,$0.00,7,0,7,0,76,0,52,0,100.00%,0.00%,13.46%,0.00%,4,2
11/10/25,$174.90,$0.00,10,0,10,0,99,0,60,0,100.00%,0.00%,16.67%,0.00%,4,2
11/11/25,$24.99,$0.00,1,0,1,0,69,0,41,0,100.00%,0.00%,2.44%,0.00%,4,2
11/12/25,$39.98,$0.00,2,0,2,0,57,0,49,0,100.00%,0.00%,4.08%,0.00%,4,2
11/13/25,$94.95,$0.00,5,0,5,0,62,0,44,0,98.11%,0.00%,11.36%,0.00%,4,2
11/14/25,$59.97,$0.00,3,0,3,0,39,1,26,1,100.00%,100.00%,11.54%,0.00%,4,2
11/15/25,$44.97,$0.00,3,0,3,0,45,3,32,3,100.00%,100.00%,9.38%,0.00%,4,2
11/16/25,$69.96,$0.00,4,0,4,0,63,2,50,1,100.00%,0.00%,8.00%,0.00%,4,2
11/17/25,$134.93,$0.00,8,0,7,0,48,0,35,0,100.00%,0.00%,22.86%,0.00%,4,2
11/18/25,$29.23,$14.24,2,1,2,1,41,1,36,1,100.00%,0.00%,5.56%,100.00%,4,2
11/19/25,$59.96,$0.00,4,0,3,0,44,0,31,0,100.00%,0.00%,12.90%,0.00%,4,2
11/20/25,$79.95,$0.00,5,0,4,0,69,0,54,0,100.00%,0.00%,9.26%,0.00%,4,2
11/21/25,$79.95,$0.00,5,0,4,0,38,0,32,0,100.00%,0.00%,15.63%,0.00%,4,2
11/22/25,$134.91,$0.00,9,0,7,0,67,0,44,0,100.00%,0.00%,20.45%,0.00%,4,2
11/23/25,$189.89,$0.00,11,0,9,0,86,0,64,0,98.68%,0.00%,17.19%,0.00%,4,2
11/24/25,$64.95,$0.00,5,0,4,0,65,2,50,2,100.00%,100.00%,10.00%,0.00%,4,2
11/25/25,$139.89,$19.98,10,1,10,1,64,0,41,0,97.92%,0.00%,24.39%,0.00%,4,2
11/26/25,$34.98,$0.00,2,0,2,0,39,2,34,2,100.00%,0.00%,5.88%,0.00%,4,2
11/27/25,$84.93,$0.00,7,0,6,0,51,0,36,0,97.83%,0.00%,19.44%,0.00%,4,2
11/28/25,$194.86,$0.00,14,0,12,0,88,0,59,0,100.00%,0.00%,23.73%,0.00%,4,2
11/29/25,$29.97,$0.00,3,0,3,0,59,4,46,2,100.00%,100.00%,6.52%,0.00%,4,2
11/30/25,$83.94,$0.00,6,0,6,0,91,0,64,0,100.00%,0.00%,9.38%,0.00%,4,2
12/1/25,$194.88,$0.00,12,0,10,0,86,1,70,1,98.61%,0.00%,17.14%,0.00%,4,2
12/2/25,$14.99,$0.00,2,0,2,0,13,0,12,0,100.00%,0.00%,16.67%,0.00%,4,2
12/3/25,$0.00,$0.00,0,0,0,0,6,0,6,0,100.00%,0.00%,0.00%,0.00%,4,2
12/4/25,$49.98,$0.00,2,0,2,0,17,0,10,0,92.86%,0.00%,20.00%,0.00%,4,2
12/5/25,$117.93,$0.00,7,0,3,0,26,0,21,0,100.00%,0.00%,33.33%,0.00%,4,2
12/6/25,$113.97,$0.00,6,0,6,0,50,1,38,1,100.00%,0.00%,15.79%,0.00%,4,2
12/7/25,$83.94,$0.00,6,0,6,0,58,0,48,0,98.15%,0.00%,12.50%,0.00%,4,2
12/8/25,$25.98,$0.00,2,0,2,0,58,0,48,0,100.00%,0.00%,4.17%,0.00%,4,2
12/9/25,$43.99,$0.00,2,0,2,0,61,4,48,4,100.00%,100.00%,4.17%,0.00%,4,2
12/10/25,$114.94,$0.00,7,0,7,0,63,1,44,1,100.00%,0.00%,15.91%,0.00%,4,2
12/11/25,$57.96,$0.00,4,0,2,0,43,0,35,0,100.00%,0.00%,11.43%,0.00%,4,2
12/12/25,$12.99,$0.00,1,0,1,0,57,1,36,1,100.00%,0.00%,2.78%,0.00%,4,2
12/13/25,$63.96,$0.00,4,0,4,0,63,0,46,0,100.00%,0.00%,8.70%,0.00%,4,2
12/14/25,$120.95,$0.00,7,0,7,0,64,0,45,0,98.21%,0.00%,15.56%,0.00%,4,2
12/15/25,$64.95,$0.00,5,0,5,0,39,1,29,1,100.00%,100.00%,17.24%,0.00%,5,3
12/16/25,$25.00,$0.00,1,0,1,0,50,3,39,3,100.00%,50.00%,2.56%,0.00%,5,3
12/17/25,$53.97,$0.00,4,0,4,0,40,1,31,1,83.33%,0.00%,12.90%,0.00%,5,3
12/18/25,$44.97,$0.00,3,0,3,0,63,0,34,0,97.96%,0.00%,8.82%,0.00%,5,3
12/19/25,$38.97,$0.00,3,0,3,0,59,0,38,0,100.00%,0.00%,7.89%,0.00%,5,3
12/20/25,$25.98,$0.00,3,0,3,0,39,3,33,1,100.00%,0.00%,9.09%,0.00%,5,3
12/21/25,$25.98,$0.00,2,0,2,0,58,6,44,4,100.00%,100.00%,4.55%,0.00%,5,3
12/22/25,$51.96,$0.00,4,0,4,0,48,1,30,1,100.00%,0.00%,13.33%,0.00%,5,3
12/23/25,$46.98,$0.00,3,0,3,0,19,0,13,0,100.00%,0.00%,23.08%,0.00%,5,3
12/24/25,$25.00,$0.00,1,0,1,0,21,0,21,0,94.74%,0.00%,4.76%,0.00%,5,3
12/25/25,$12.99,$0.00,1,0,1,0,29,1,24,1,100.00%,0.00%,4.17%,0.00%,5,3
12/26/25,$18.99,$0.00,1,0,1,0,48,0,25,0,100.00%,0.00%,4.00%,0.00%,5,3
12/27/25,$94.96,$0.00,5,0,5,0,133,0,54,0,100.00%,0.00%,9.26%,0.00%,5,3
12/28/25,$95.95,$0.00,6,0,5,0,100,0,55,0,98.92%,0.00%,10.91%,0.00%,5,3
12/29/25,$12.99,$0.00,1,0,1,0,27,3,22,3,100.00%,100.00%,4.55%,0.00%,5,3
12/30/25,$20.00,$0.00,1,0,1,0,37,2,25,1,100.00%,100.00%,4.00%,0.00%,5,3
12/31/25,$25.98,$0.00,2,0,1,0,21,1,18,1,100.00%,0.00%,11.11%,0.00%,5,3
1/1/26,$18.99,$0.00,1,0,1,0,35,0,28,0,100.00%,0.00%,3.57%,0.00%,5,3
1/2/26,$50.98,$0.00,3,0,3,0,37,0,30,0,100.00%,0.00%,10.00%,0.00%,5,3
1/3/26,$38.97,$0.00,3,0,3,0,42,0,32,0,100.00%,0.00%,9.38%,0.00%,5,3
1/4/26,$0.00,$0.00,0,0,0,0,48,0,37,0,100.00%,0.00%,0.00%,0.00%,5,3
1/5/26,$20.00,$0.00,1,0,1,0,35,1,27,1,100.00%,0.00%,3.70%,0.00%,5,3
1/6/26,$50.98,$0.00,3,0,3,0,30,0,25,0,100.00%,0.00%,12.00%,0.00%,5,3
1/7/26,$57.99,$0.00,3,0,3,0,44,0,35,0,100.00%,0.00%,8.57%,0.00%,5,3
1/8/26,$50.97,$0.00,3,0,3,0,32,0,25,0,100.00%,0.00%,12.00%,0.00%,5,3
1/9/26,$18.99,$0.00,1,0,1,0,30,0,20,0,100.00%,0.00%,5.00%,0.00%,5,3
1/10/26,$37.99,$0.00,2,0,2,0,16,0,13,0,100.00%,0.00%,15.38%,0.00%,5,3
1/11/26,$68.99,$0.00,3,0,3,0,18,0,16,0,100.00%,0.00%,18.75%,0.00%,5,3
1/12/26,$20.00,$0.00,1,0,1,0,39,0,21,0,100.00%,0.00%,4.76%,0.00%,5,3
1/13/26,$71.98,$0.00,4,0,4,0,29,0,23,0,100.00%,0.00%,17.39%,0.00%,5,3
1/14/26,$68.99,$0.00,3,0,3,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,0,0